authors,year,name,cites,content
"S Zaman, B Adams, AE Hassan",2011,Security versus performance bugs: a case study on firefox,138,"A good understanding of the impact of different types of bugs on various project aspects is essential to improve software quality research and practice. For instance, we would expect that security bugs are fixed faster than other types of bugs due to their critical nature. However, prior research has often treated all bugs as similar when studying various aspects of software quality  e.g., predicting the time to fix a bug , or has focused on one particular type of bug  e.g., security bugs  with little comparison to other types. In this paper, we study how different types of bugs  performance and security bugs  differ from each other and from the rest of the bugs in a software project. Through a case study on the Firefox project, we find that security bugs are fixed and triaged much faster, but are reopened and tossed more frequently. Furthermore, we also find that security bugs involve more developers and impact more files in a project. Our work is the first work to ever empirically study performance bugs and compare it to frequently studied security bugs. Our findings highlight the importance of considering the different types of bugs in software quality research and practice."
"J Xuan, H Jiang, Z Ren, W Zou",2012,Developer prioritization in bug repositories,147,"Developers build all the software artifacts in development. Existing work has studied the social behavior in software repositories. In one of the most important software repositories, a bug repository, developers create and update bug reports to support software development and maintenance. However, no prior work has considered the priorities of developers in bug repositories. In this paper, we address the problem of the developer prioritization, which aims to rank the contributions of developers. We mainly explore two aspects, namely modeling the developer prioritization in a bug repository and assisting predictive tasks with our model. First, we model how to assign the priorities of developers based on a social network technique. Three problems are investigated, including the developer rankings in products, the evolution over time, and the tolerance of noisy comments. Second, we consider leveraging the developer prioritization to improve three predicted tasks in bug repositories, i.e., bug triage, severity identification, and reopened bug prediction. We empirically investigate the performance of our model and its applications in bug repositories of Eclipse and Mozilla. The results indicate that the developer prioritization can provide the knowledge of developer priorities to assist software tasks, especially the task of bug triage."
"M Gegick, P Rotella, T Xie",2010,Identifying security bug reports via text mining: An industrial case study,142,"A bug tracking system such as Bugzilla contains bug reports  BRs  collected from various sources such as development teams, testing teams, and end users. When bug reporters submit bug reports to a bug tracking system, the bug reporters need to label the bug reports as security bug reports  SBRs  or not, to indicate whether the involved bugs are security problems. These SBRs generally deserve higher priority in bug fixing than not security bug reports  NSBRs . However, in the bug reporting process, bug reporters often mislabel SBRs as NSBRs partly due to lack of security domain knowledge. This mislabeling could cause serious damage to software system stakeholders due to the induced delay of identifying and fixing the involved security bugs. To address this important issue, we developed a new approach that applies text mining on natural language descriptions of BRs to train a statistical model on already manually labeled BRs to identify SBRs that are manually mislabeled as NSBRs. Security engineers can use the model to automate the classification of BRs from large bug databases to reduce the time that they spend on searching for SBRs. We evaluated the model s predictions on a large Cisco software system with over ten million source lines of code. Among a sample of BRs that Cisco bug reporters manually labeled as NSBRs in bug reporting, our model successfully classified a high percentage  78  of the SBRs as verified by Cisco security engineers, and predicted their classification as SBRs with a probability of at least 0.98."
"H Hu, H Zhang, J Xuan, W Sun",2014,Effective bug triage based on historical bug fix information,45,"For complex and popular software, project teams could receive a large number of bug reports. It is often tedious and costly to manually assign these bug reports to developers who have the expertise to fix the bugs. Many bug triage techniques have been proposed to automate this process. In this paper, we describe our study on applying conventional bug triage techniques to projects of different sizes. We find that the effectiveness of a bug triage technique largely depends on the size of a project team  measured in terms of the number of developers . The conventional bug triage methods become less effective when the number of developers increases. To further improve the effectiveness of bug triage for large projects, we propose a novel recommendation method called Bug Fixer, which recommends developers for a new bug report based on historical bug fix information. Bug Fixer constructs a Developer Component Bug  DCB  network, which models the relationship between developers and source code components, as well as the relationship between the components and their associated bugs. A DCB network captures the knowledge of  "
"J Kanwal, O Maqbool",2012,Bug prioritization to facilitate bug report triage,47,"The large number of new bug reports received in bug repositories of software systems makes their management a challenging task. Handling these reports manually is time consuming, and often results in delaying the resolution of important bugs. To address this issue, a recommender may be developed which automatically prioritizes the new bug reports. In this paper, we propose and evaluate a classification based approach to build such a recommender. We use the Na ve Bayes and Support Vector Machine  SVM  classifiers, and present a comparison to evaluate which classifier performs better in terms of accuracy. Since a bug report contains both categorical and text features, another evaluation we perform is to determine the combination of features that better determines the priority of a bug. To evaluate the bug priority recommender, we use precision and recall measures and also propose two new measures, Nearest False Negatives  NFN  and Nearest False Positives  NFP , which provide insight into the results produced by precision and recall. Our findings are that the results of SVM are better than the Na ve Bayes algorithm for text features, whereas for categorical features, Na ve Bayes performance is better than SVM. The highest accuracy is achieved with SVM when categorical and text features are combined for training."
"O Baysal, R Holmes, MW Godfrey",2012,Revisiting bug triage and resolution practices,8,"Bug triaging is an error prone, tedious and time consuming task. However, little qualitative research has been done on the actual use of bug tracking systems, bug triage, and resolution processes. We are planning to conduct a qualitative study to understand the dynamics of bug triage and fixing process, as well as bug reassignments and reopens. We will study interviews conducted with Mozilla Core and Firefox developers to get insights into the primary obstacles developers face during the bug fixing process. Is the triage process flawed? Does bug review slow things down? Does approval takes too long? We will also categorize the main reasons for bug reassignments and reopens. We will then combine results with a quantitative study of Firefox bug reports, focusing on factors related to bug report edits and number of people involved in handling the bug."
"D Behl, S Handa, A Arora",2014,A bug mining tool to identify and analyze security bugs using naive bayes and tf idf,26,"Bug report contains a vital role during software development, However bug reports belongs to different categories such as performance, usability, security etc. This paper focuses on security bug and presents a bug mining system for the identification of security and non security bugs using the term frequency inverse document frequency  TF IDF  weights and na ve bayes. We performed experiments on bug report repositories of bug tracking systems such as bugzilla and debugger. In the proposed approach we apply text mining methodology and TF IDF on the existing historic bug report database based on the bug s description to predict the nature of the bug and to train a statistical model for manually mislabeled bug reports present in the database. The tool helps in deciding the priorities of the incoming bugs depending on the category of the bugs i.e. whether it is a security bug report or a non security bug report, using na ve bayes. Our evaluation shows that our tool using TF IDF is giving better results than the na ve bayes method."
"J Uddin, R Ghazali, MM Deris, R Naseem ",2017,A survey on bug prioritization,26,"Daily large number of bug reports are received in large open and close source bug tracking systems. Dealing with these reports manually utilizes time and resources which leads to delaying the resolution of important bugs. As an important process in software maintenance, bug triaging process carefully analyze these bug reports to determine, for example, whether the bugs are duplicate or unique, important or unimportant, and who will resolve them. Assigning bug reports based on their priority or importance may play an important role in enhancing the bug triaging process. The accurate and timely prioritization and hence resolution of these bug reports not only improves the quality of software maintenance task but also provides the basis to keep particular software alive. In the past decade, various studies have been conducted to prioritize bug reports using data mining techniques like classification, information retrieval and clustering that can overcome incorrect prioritization. Due to their popularity and importance, we survey the automated bug prioritization processes in a systematic way. In particular, this paper gives a small theoretical study for bug reports to motivate the necessity for work on bug prioritization. The existing work on bug prioritization and some possible problems in working with bug prioritization are summarized."
"N Goyal, N Aggarwal, M Dutta",2015,A novel way of assigning software bug priority using supervised classification on clustered bugs data,4,"Bug Triaging is an important part of testing process in software development organizations. But it takes up considerable amount of time of the Bug Triager, costing time and resources of the organization. Hence it is worth while to develop an automated system to address this issue. Researchers have addressed various aspects of this by using techniques of data mining, like classification etc. Also there is a study which claims that when classification is done on the data which is previously clustered  it significantly improves its performance. In this work, this approach has been used for the first time in the field of software testing for predicting the priority of the software bugs to find if classifier performance improves when it is preceded with clustering. Using this system, clustering was performed on problem title attribute of the bugs to group similar bugs together using clustering algorithms. Classification was then applied to the clusters obtained, to assign priority to the bugs based on their attributes severity or component using classification algorithms. It was then studied that which combination of clustering and classification algorithms used provided the best results."
"P Bhattacharya, L Ulanova, I Neamtiu ",2013,An empirical analysis of bug reports and bug fixing in open source android apps,69,"Smartphone platforms and applications  apps  have gained tremendous popularity recently. Due to the novelty of the smartphone platform and tools, and the low barrier to entry for app distribution, apps are prone to errors, which affects user experience and requires frequent bug fixes. An essential step towards correcting this situation is understanding the nature of the bugs and bug fixing processes associated with smartphone platforms and apps. However, prior empirical bug studies have focused mostly on desktop and server applications. Therefore, in this paper, we perform an in depth empirical study on bugs in the Google Android smartphone platform and 24 widely used open source Android apps from diverse categories such as communication, tools, and media. Our analysis has three main thrusts. First, we define several metrics to understand the quality of bug reports and analyze the bug fix process, including developer involvement. Second, we show how differences in bug life cycles can affect the bug fix process. Third, as Android devices carry significant amounts of security sensitive information, we perform a study of Android security bugs. We found that, although contributor activity in these projects is generally high, developer involvement decreases in some projects, similarly, while bug report quality is high, bug triaging is still a problem. Finally, we observe that in Android apps, security bug reports are of higher quality but get fixed slower than non security bugs. We believe that the findings of our study could potentially benefit both developers and users of Android apps."
